phone_encoded,number_of_messages,has_response,id of conversation,date_of_communication,location_encoded
277,1,FALSE,1160052,2024-01-29 09:43:35,9ae67770
780,4,TRUE,1160073,2024-01-29 09:52:18,9ae67770
320,8,TRUE,1166567,2024-01-30 11:10:15,421e5f1c
300,10,TRUE,1166779,2024-01-30 14:56:27,421e5f1c
270,3,TRUE,1167223,2024-01-31 10:12:33,330b5828
229,3,TRUE,1167227,2024-01-31 10:17:57,330b5828
929,1,FALSE,1167228,2024-01-31 10:18:21,330b5828
265,1,FALSE,1167229,2024-01-31 10:19:19,330b5828
1486,2,TRUE,1167230,2024-01-31 10:20:11,330b5828
764,4,TRUE,1167231,2024-01-31 10:20:22,330b5828
993,4,TRUE,1167234,2024-01-31 10:20:34,330b5828
142,1,FALSE,1167235,2024-01-31 10:20:42,330b5828
1116,1,FALSE,1167236,2024-01-31 10:20:55,330b5828
87,1,FALSE,1167237,2024-01-31 10:21:20,330b5828
52,1,FALSE,1167238,2024-01-31 10:21:26,330b5828
512,1,FALSE,1167239,2024-01-31 10:21:35,330b5828
208,3,TRUE,1167240,2024-01-31 10:21:46,330b5828
114,2,TRUE,1167241,2024-01-31 10:22:08,330b5828
1191,1,FALSE,1167242,2024-01-31 10:22:16,330b5828
1226,1,FALSE,1171842,2024-02-02 09:52:02,9ae67770
1241,1,FALSE,1171844,2024-02-02 09:52:16,9ae67770
1024,4,TRUE,1172021,2024-02-02 10:39:00,c25dda79
277,1,FALSE,1173552,2024-02-02 12:40:38,9ae67770
637,3,TRUE,1173556,2024-02-02 12:40:49,9ae67770
550,1,FALSE,1173561,2024-02-02 12:41:06,9ae67770
179,2,TRUE,1174325,2024-02-02 14:43:35,421e5f1c
1334,2,TRUE,1174770,2024-02-02 16:07:04,c25dda79
1353,1,FALSE,1174771,2024-02-02 16:08:37,c25dda79
320,4,TRUE,1182961,2024-02-05 09:21:00,421e5f1c
45,3,TRUE,1195442,2024-02-06 17:21:19,421e5f1c
179,3,TRUE,1195892,2024-02-07 10:02:28,67f6beac
1226,1,FALSE,1219229,2024-02-13 09:47:20,9ae67770
1241,1,FALSE,1219239,2024-02-13 09:48:23,9ae67770
996,1,FALSE,1219244,2024-02-13 09:49:07,9ae67770
277,1,FALSE,1219247,2024-02-13 09:49:33,9ae67770
539,3,TRUE,1227474,2024-02-18 10:53:32,9ae67770
1413,3,TRUE,1227750,2024-02-18 14:32:32,421e5f1c
341,1,FALSE,1227752,2024-02-18 14:33:01,421e5f1c
430,4,TRUE,1227753,2024-02-18 14:33:12,421e5f1c
381,3,TRUE,1227754,2024-02-18 14:33:39,421e5f1c
230,1,FALSE,1227755,2024-02-18 14:34:00,421e5f1c
1483,3,TRUE,1227757,2024-02-18 14:34:24,421e5f1c
300,1,FALSE,1227764,2024-02-18 14:37:47,421e5f1c
494,3,TRUE,1227767,2024-02-18 14:38:30,421e5f1c
1051,3,TRUE,1227769,2024-02-18 14:38:43,421e5f1c
1241,1,FALSE,1229234,2024-02-20 09:14:42,9ae67770
1226,1,FALSE,1229239,2024-02-20 09:15:23,9ae67770
550,1,FALSE,1229241,2024-02-20 09:15:43,9ae67770
637,1,FALSE,1229243,2024-02-20 09:16:00,9ae67770
277,1,FALSE,1229246,2024-02-20 09:16:31,9ae67770
1191,4,TRUE,1252574,2024-02-23 08:38:00,330b5828
52,1,FALSE,1252576,2024-02-23 08:38:39,330b5828
1116,1,FALSE,1252578,2024-02-23 08:39:13,330b5828
993,2,TRUE,1252580,2024-02-23 08:39:47,330b5828
764,1,FALSE,1252581,2024-02-23 08:39:59,330b5828
142,4,TRUE,1252583,2024-02-23 08:40:13,330b5828
265,3,TRUE,1252584,2024-02-23 08:40:24,330b5828
929,4,TRUE,1252586,2024-02-23 08:40:36,330b5828
179,1,FALSE,1253210,2024-02-23 10:01:46,67f6beac
229,1,FALSE,1254598,2024-02-23 13:22:39,330b5828
208,1,FALSE,1254625,2024-02-23 13:24:21,330b5828
179,1,FALSE,1270968,2024-02-27 11:38:04,67f6beac
59,1,FALSE,1278067,2024-02-28 10:29:07,9ae67770
1227,2,TRUE,1303856,2024-03-02 15:36:01,330b5828
110,1,FALSE,1321103,2024-03-06 17:21:02,421e5f1c
179,1,FALSE,1356861,2024-03-21 14:59:18,67f6beac
59,1,FALSE,1362496,2024-03-26 09:18:30,9ae67770
277,1,FALSE,1362497,2024-03-26 09:19:26,9ae67770
1241,1,FALSE,1362500,2024-03-26 09:21:30,9ae67770
539,3,TRUE,1362501,2024-03-26 09:22:36,9ae67770
996,1,FALSE,1362502,2024-03-26 09:22:47,9ae67770
1177,1,FALSE,1362503,2024-03-26 09:22:57,9ae67770
928,1,FALSE,1362504,2024-03-26 09:23:04,9ae67770
1438,4,TRUE,1362506,2024-03-26 09:23:11,9ae67770
1177,1,FALSE,1371934,2024-03-30 09:03:08,9ae67770
267,1,FALSE,1371935,2024-03-30 09:03:34,9ae67770
454,5,TRUE,1371937,2024-03-30 09:04:29,9ae67770
229,2,FALSE,1414699,2024-04-12 11:38:22,330b5828
1417,5,TRUE,1475317,2024-04-18 07:19:05,33ad869b
1253,2,TRUE,1475318,2024-04-18 07:20:05,33ad869b
936,3,TRUE,1475320,2024-04-18 07:22:08,33ad869b
88,1,FALSE,1475705,2024-04-18 08:39:37,33ad869b
1513,2,TRUE,1475707,2024-04-18 08:40:00,33ad869b
1003,2,TRUE,1475710,2024-04-18 08:40:12,33ad869b
656,2,TRUE,1475711,2024-04-18 08:40:21,33ad869b
174,2,TRUE,1475713,2024-04-18 08:40:30,33ad869b
1167,3,TRUE,1475716,2024-04-18 08:40:48,33ad869b
407,2,TRUE,1476469,2024-04-18 11:29:53,33ad869b
179,8,TRUE,1486214,2024-04-26 14:17:19,421e5f1c
320,3,TRUE,1487233,2024-04-29 08:39:48,421e5f1c
430,2,TRUE,1528388,2024-05-16 11:30:25,421e5f1c
1413,3,TRUE,1528394,2024-05-16 11:30:55,421e5f1c
1505,1,FALSE,1528399,2024-05-16 11:31:29,421e5f1c
781,1,FALSE,1528402,2024-05-16 11:31:44,421e5f1c
324,2,TRUE,1528406,2024-05-16 11:32:04,421e5f1c
1050,6,TRUE,1528528,2024-05-16 11:45:25,421e5f1c
230,1,FALSE,1532128,2024-05-18 11:14:36,421e5f1c
179,8,TRUE,1533609,2024-05-20 14:12:22,421e5f1c
992,1,FALSE,1533888,2024-05-21 08:47:27,421e5f1c
179,8,TRUE,1533938,2024-05-21 09:18:19,421e5f1c
259,2,TRUE,1533961,2024-05-21 10:38:16,fafe45b3
1297,4,TRUE,1534060,2024-05-21 16:04:56,436a35c0
243,2,TRUE,1534067,2024-05-21 16:09:16,436a35c0
1338,3,TRUE,1540618,2024-05-22 11:42:13,0522ac6c
1332,5,FALSE,1541985,2024-05-22 15:13:38,94e9afe5
1244,2,TRUE,1541988,2024-05-22 15:15:06,d8692b82
1476,4,TRUE,1541990,2024-05-22 15:15:35,d8692b82
1220,1,FALSE,1541992,2024-05-22 15:15:56,d8692b82
1143,1,FALSE,1541993,2024-05-22 15:16:12,d8692b82
51,1,FALSE,1541995,2024-05-22 15:16:47,d8692b82
853,2,TRUE,1541997,2024-05-22 15:17:19,d8692b82
1352,1,FALSE,1541998,2024-05-22 15:17:33,d8692b82
1462,2,TRUE,1541999,2024-05-22 15:17:51,d8692b82
778,5,TRUE,1542000,2024-05-22 15:18:43,d8692b82
105,6,TRUE,1542001,2024-05-22 15:19:25,94e9afe5
909,1,FALSE,1542009,2024-05-22 15:25:52,d8692b82
78,8,TRUE,1542010,2024-05-22 15:29:03,d8692b82
173,1,FALSE,1542011,2024-05-22 15:30:09,d8692b82
170,1,FALSE,1542012,2024-05-22 15:30:44,d8692b82
573,1,FALSE,1542013,2024-05-22 15:31:25,d8692b82
228,2,TRUE,1542014,2024-05-22 15:31:47,d8692b82
1360,1,FALSE,1542015,2024-05-22 15:32:24,d8692b82
579,5,TRUE,1542016,2024-05-22 15:35:08,d8692b82
1392,1,FALSE,1546159,2024-05-24 07:10:48,d8692b82
1184,2,TRUE,1546161,2024-05-24 07:11:01,d8692b82
392,7,TRUE,1550435,2024-05-25 10:01:30,d8692b82
825,2,TRUE,1550441,2024-05-25 10:05:51,d8692b82
664,1,FALSE,1551524,2024-05-25 16:50:19,adf351d5
1382,2,TRUE,1556524,2024-05-28 09:31:41,adf351d5
421,4,TRUE,1557036,2024-05-28 10:19:54,a6d0d1d9
483,2,TRUE,1557140,2024-05-28 10:27:12,a6d0d1d9
1219,1,FALSE,1557145,2024-05-28 10:27:39,a6d0d1d9
507,3,TRUE,1557151,2024-05-28 10:28:07,a6d0d1d9
391,1,FALSE,1557157,2024-05-28 10:28:38,a6d0d1d9
899,2,TRUE,1557161,2024-05-28 10:28:59,a6d0d1d9
649,1,FALSE,1557165,2024-05-28 10:29:32,a6d0d1d9
564,1,FALSE,1557169,2024-05-28 10:29:53,a6d0d1d9
846,2,TRUE,1557177,2024-05-28 10:30:20,a6d0d1d9
1329,1,FALSE,1557179,2024-05-28 10:30:37,a6d0d1d9
561,1,FALSE,1557186,2024-05-28 10:31:59,a6d0d1d9
1359,2,TRUE,1557197,2024-05-28 10:33:13,a6d0d1d9
576,2,TRUE,1557204,2024-05-28 10:34:28,a6d0d1d9
883,1,FALSE,1557208,2024-05-28 10:35:18,a6d0d1d9
1109,1,FALSE,1557213,2024-05-28 10:36:08,a6d0d1d9
1196,1,FALSE,1557215,2024-05-28 10:36:26,a6d0d1d9
907,1,FALSE,1557222,2024-05-28 10:37:27,a6d0d1d9
919,1,FALSE,1557229,2024-05-28 10:37:54,a6d0d1d9
456,2,TRUE,1557233,2024-05-28 10:38:13,a6d0d1d9
393,2,TRUE,1557747,2024-05-28 11:30:53,a6d0d1d9
1100,1,FALSE,1557758,2024-05-28 11:33:58,a6d0d1d9
1189,3,TRUE,1558314,2024-05-28 16:18:48,fb72e28e
98,2,TRUE,1558317,2024-05-28 16:23:27,85f63b45
1384,2,TRUE,1559264,2024-05-29 08:44:59,94e9afe5
552,2,TRUE,1559269,2024-05-29 08:45:18,94e9afe5
67,1,FALSE,1559271,2024-05-29 08:45:34,94e9afe5
370,1,FALSE,1559273,2024-05-29 08:45:50,94e9afe5
179,7,TRUE,1559526,2024-05-29 09:12:50,421e5f1c
426,1,FALSE,1559587,2024-05-29 09:19:25,421e5f1c
122,3,TRUE,1560169,2024-05-29 11:42:13,83a1c700
459,2,TRUE,1560170,2024-05-29 11:42:13,a6d0d1d9
986,2,TRUE,1560197,2024-05-29 11:45:59,83a1c700
578,1,FALSE,1560198,2024-05-29 11:46:44,83a1c700
805,2,TRUE,1560200,2024-05-29 11:47:45,83a1c700
612,1,FALSE,1560201,2024-05-29 11:48:14,83a1c700
943,1,FALSE,1560203,2024-05-29 11:48:46,83a1c700
1508,2,TRUE,1560204,2024-05-29 11:49:10,83a1c700
953,2,TRUE,1560206,2024-05-29 11:49:40,83a1c700
646,1,FALSE,1560207,2024-05-29 11:50:06,83a1c700
562,1,FALSE,1560208,2024-05-29 11:50:50,83a1c700
129,2,TRUE,1560209,2024-05-29 11:51:14,83a1c700
1280,1,FALSE,1560212,2024-05-29 11:51:44,83a1c700
82,2,TRUE,1560215,2024-05-29 11:52:08,83a1c700
705,1,FALSE,1560217,2024-05-29 11:52:31,83a1c700
666,3,TRUE,1560286,2024-05-29 12:09:39,83a1c700
971,2,TRUE,1560831,2024-05-29 15:07:43,10a46a4a
510,2,TRUE,1560832,2024-05-29 15:07:46,ff0a40e1
518,1,FALSE,1560833,2024-05-29 15:07:53,10a46a4a
1056,2,TRUE,1560834,2024-05-29 15:07:57,ff0a40e1
1095,5,TRUE,1560835,2024-05-29 15:08:01,10a46a4a
1335,1,FALSE,1560836,2024-05-29 15:08:07,ff0a40e1
346,3,TRUE,1560837,2024-05-29 15:08:11,10a46a4a
441,1,FALSE,1560838,2024-05-29 15:08:17,ff0a40e1
589,1,FALSE,1560839,2024-05-29 15:08:23,ff0a40e1
54,1,FALSE,1560840,2024-05-29 15:08:24,10a46a4a
316,2,TRUE,1560841,2024-05-29 15:08:36,ff0a40e1
942,2,TRUE,1560842,2024-05-29 15:08:37,10a46a4a
1181,1,FALSE,1560843,2024-05-29 15:08:43,ff0a40e1
1012,7,TRUE,1560844,2024-05-29 15:08:49,ff0a40e1
464,1,FALSE,1560845,2024-05-29 15:08:53,10a46a4a
1276,1,FALSE,1560846,2024-05-29 15:08:57,ff0a40e1
813,1,FALSE,1560847,2024-05-29 15:09:01,10a46a4a
635,2,TRUE,1560848,2024-05-29 15:09:05,ff0a40e1
642,1,FALSE,1560849,2024-05-29 15:09:11,ff0a40e1
1122,2,TRUE,1560850,2024-05-29 15:09:16,ff0a40e1
783,1,FALSE,1560851,2024-05-29 15:09:32,ff0a40e1
1073,1,FALSE,1560852,2024-05-29 15:11:26,10a46a4a
287,4,TRUE,1560941,2024-05-29 16:50:53,688eada9
322,1,FALSE,1560972,2024-05-29 18:06:49,688eada9
1503,1,FALSE,1560973,2024-05-29 18:07:10,688eada9
1459,1,FALSE,1560974,2024-05-29 18:07:25,688eada9
193,3,TRUE,1560975,2024-05-29 18:07:38,688eada9
480,2,TRUE,1560977,2024-05-29 18:08:05,688eada9
1033,2,TRUE,1560978,2024-05-29 18:08:18,688eada9
1294,1,FALSE,1560979,2024-05-29 18:08:29,688eada9
1059,2,TRUE,1560980,2024-05-29 18:08:44,688eada9
194,1,FALSE,1560981,2024-05-29 18:09:04,688eada9
99,1,FALSE,1560982,2024-05-29 18:10:12,688eada9
472,1,FALSE,1560983,2024-05-29 18:11:02,688eada9
823,2,TRUE,1560984,2024-05-29 18:11:14,688eada9
338,1,FALSE,1561051,2024-05-30 06:17:35,f3a00157
1018,1,FALSE,1561052,2024-05-30 06:17:54,f3a00157
100,1,FALSE,1561053,2024-05-30 06:17:54,f3a00157
874,1,FALSE,1561054,2024-05-30 06:17:54,f3a00157
70,1,FALSE,1561055,2024-05-30 06:17:54,f3a00157
898,3,TRUE,1561056,2024-05-30 06:17:54,f3a00157
210,1,FALSE,1561057,2024-05-30 06:17:54,f3a00157
89,1,FALSE,1561058,2024-05-30 06:17:54,f3a00157
1442,1,FALSE,1561059,2024-05-30 06:17:55,f3a00157
1468,7,TRUE,1561069,2024-05-30 06:19:36,f3a00157
1271,1,FALSE,1561774,2024-05-30 09:03:04,fafe45b3
787,1,FALSE,1561775,2024-05-30 09:03:23,fafe45b3
1474,2,TRUE,1561776,2024-05-30 09:03:33,fafe45b3
1214,1,FALSE,1561780,2024-05-30 09:04:04,fafe45b3
1232,1,FALSE,1561781,2024-05-30 09:04:25,fafe45b3
708,2,TRUE,1561784,2024-05-30 09:04:41,fafe45b3
621,2,TRUE,1561785,2024-05-30 09:04:55,fafe45b3
296,6,TRUE,1561788,2024-05-30 09:05:06,fafe45b3
902,1,FALSE,1561791,2024-05-30 09:05:19,fafe45b3
761,2,TRUE,1561792,2024-05-30 09:05:30,fafe45b3
1386,1,FALSE,1561793,2024-05-30 09:05:40,fafe45b3
532,1,FALSE,1561797,2024-05-30 09:05:48,fafe45b3
58,1,FALSE,1561798,2024-05-30 09:06:02,fafe45b3
954,1,FALSE,1561800,2024-05-30 09:06:11,fafe45b3
840,2,TRUE,1561803,2024-05-30 09:06:26,fafe45b3
1371,1,FALSE,1561827,2024-05-30 09:11:43,85f63b45
1387,5,TRUE,1561829,2024-05-30 09:11:55,85f63b45
286,1,FALSE,1561831,2024-05-30 09:12:12,85f63b45
1063,1,FALSE,1561902,2024-05-30 09:20:54,85f63b45
1404,2,TRUE,1561906,2024-05-30 09:21:11,85f63b45
1345,1,FALSE,1561909,2024-05-30 09:21:27,85f63b45
1273,2,TRUE,1561916,2024-05-30 09:22:09,85f63b45
1499,1,FALSE,1561928,2024-05-30 09:23:34,adf351d5
1114,4,TRUE,1561932,2024-05-30 09:24:03,85f63b45
61,1,FALSE,1561933,2024-05-30 09:24:06,adf351d5
254,1,FALSE,1561934,2024-05-30 09:24:18,85f63b45
62,1,FALSE,1561937,2024-05-30 09:24:28,85f63b45
60,1,FALSE,1561938,2024-05-30 09:24:32,adf351d5
639,1,FALSE,1561940,2024-05-30 09:24:40,85f63b45
447,3,TRUE,1561944,2024-05-30 09:24:55,adf351d5
606,2,TRUE,1561949,2024-05-30 09:25:32,adf351d5
1367,2,TRUE,1561957,2024-05-30 09:26:52,85f63b45
818,2,TRUE,1561960,2024-05-30 09:27:48,adf351d5
519,1,FALSE,1561962,2024-05-30 09:28:24,adf351d5
281,2,TRUE,1561967,2024-05-30 09:29:57,adf351d5
1447,2,TRUE,1561969,2024-05-30 09:30:13,adf351d5
667,1,FALSE,1561972,2024-05-30 09:30:45,adf351d5
1004,2,TRUE,1561975,2024-05-30 09:31:20,adf351d5
1291,2,TRUE,1561977,2024-05-30 09:31:40,adf351d5
158,1,FALSE,1561979,2024-05-30 09:32:54,adf351d5
152,2,TRUE,1562036,2024-05-30 09:55:42,a6526ca0
1021,1,FALSE,1562037,2024-05-30 09:55:57,a6526ca0
1385,2,TRUE,1562039,2024-05-30 09:56:08,a6526ca0
161,2,TRUE,1562040,2024-05-30 09:56:16,a6526ca0
940,2,TRUE,1562042,2024-05-30 09:56:26,a6526ca0
1010,1,FALSE,1562043,2024-05-30 09:56:34,a6526ca0
368,1,FALSE,1562044,2024-05-30 09:56:41,a6526ca0
148,1,FALSE,1562046,2024-05-30 09:57:00,a6526ca0
990,2,TRUE,1562048,2024-05-30 09:57:07,a6526ca0
587,1,FALSE,1562049,2024-05-30 09:57:14,a6526ca0
1135,1,FALSE,1562050,2024-05-30 09:57:21,a6526ca0
551,1,FALSE,1562052,2024-05-30 09:57:28,a6526ca0
1341,3,TRUE,1562053,2024-05-30 09:57:37,a6526ca0
257,1,FALSE,1562054,2024-05-30 09:57:44,a6526ca0
53,1,FALSE,1562056,2024-05-30 09:58:04,a6526ca0
680,2,FALSE,1562057,2024-05-30 09:58:10,a6526ca0
1161,3,TRUE,1562059,2024-05-30 09:58:23,a6526ca0
502,1,FALSE,1562060,2024-05-30 09:58:31,a6526ca0
1374,2,TRUE,1562474,2024-05-30 18:45:58,688eada9
1151,5,TRUE,1562931,2024-05-31 08:05:24,65751190
1125,2,TRUE,1563164,2024-05-31 09:24:18,62dbe763
175,1,FALSE,1563172,2024-05-31 09:28:15,62dbe763
253,2,TRUE,1563240,2024-05-31 10:03:32,62dbe763
415,6,TRUE,1563278,2024-05-31 11:06:47,65751190
149,6,TRUE,1563289,2024-05-31 11:11:52,65751190
377,2,TRUE,1563322,2024-05-31 11:45:12,83a1c700
1175,5,TRUE,1563348,2024-05-31 12:14:53,65751190
1186,1,FALSE,1563656,2024-05-31 14:56:39,33ad869b
750,2,TRUE,1563658,2024-05-31 15:01:39,436a35c0
894,2,TRUE,1563659,2024-05-31 15:01:54,436a35c0
1053,1,FALSE,1563660,2024-05-31 15:02:02,436a35c0
1446,2,TRUE,1563661,2024-05-31 15:02:11,436a35c0
808,1,FALSE,1563662,2024-05-31 15:02:22,436a35c0
1357,2,TRUE,1563663,2024-05-31 15:02:32,436a35c0
1260,1,FALSE,1563664,2024-05-31 15:02:58,436a35c0
1269,1,FALSE,1563665,2024-05-31 15:03:25,436a35c0
1044,1,FALSE,1563666,2024-05-31 15:03:36,436a35c0
694,3,TRUE,1563667,2024-05-31 15:07:24,caddbc5a
1274,2,TRUE,1563668,2024-05-31 15:07:36,caddbc5a
634,2,TRUE,1563669,2024-05-31 15:07:49,caddbc5a
1038,2,TRUE,1563670,2024-05-31 15:08:06,caddbc5a
547,4,TRUE,1563671,2024-05-31 15:08:16,caddbc5a
117,1,FALSE,1563672,2024-05-31 15:08:25,caddbc5a
966,2,TRUE,1563673,2024-05-31 15:08:34,caddbc5a
1001,2,TRUE,1563674,2024-05-31 15:08:41,caddbc5a
584,2,TRUE,1563675,2024-05-31 15:08:51,caddbc5a
603,2,TRUE,1563676,2024-05-31 15:09:07,caddbc5a
1285,3,TRUE,1563677,2024-05-31 15:09:07,65751190
473,1,FALSE,1563678,2024-05-31 15:09:15,caddbc5a
353,1,FALSE,1563679,2024-05-31 15:09:24,caddbc5a
154,2,TRUE,1563685,2024-05-31 15:33:34,2ebfcf79
1259,2,TRUE,1563686,2024-05-31 15:33:47,2ebfcf79
956,2,TRUE,1563687,2024-05-31 15:33:58,2ebfcf79
1093,2,TRUE,1563688,2024-05-31 15:34:05,2ebfcf79
1206,1,FALSE,1563689,2024-05-31 15:34:19,2ebfcf79
801,1,FALSE,1563690,2024-05-31 15:34:30,2ebfcf79
872,1,FALSE,1563691,2024-05-31 15:35:01,2ebfcf79
1123,1,FALSE,1563692,2024-05-31 15:35:10,2ebfcf79
760,1,FALSE,1563693,2024-05-31 15:35:21,2ebfcf79
184,1,FALSE,1563694,2024-05-31 15:35:32,2ebfcf79
181,2,TRUE,1563695,2024-05-31 15:35:43,2ebfcf79
1465,1,FALSE,1563696,2024-05-31 15:35:56,2ebfcf79
887,1,FALSE,1563697,2024-05-31 15:36:07,2ebfcf79
1026,1,FALSE,1563698,2024-05-31 15:36:15,2ebfcf79
1147,2,TRUE,1563699,2024-05-31 15:36:24,2ebfcf79
1065,1,FALSE,1563700,2024-05-31 15:36:34,2ebfcf79
1461,1,FALSE,1563701,2024-05-31 15:36:47,2ebfcf79
1384,1,FALSE,1564013,2024-06-01 08:56:38,94e9afe5
1178,2,TRUE,1564057,2024-06-01 10:54:32,fb72e28e
75,1,FALSE,1564059,2024-06-01 10:55:21,fb72e28e
1166,1,FALSE,1564060,2024-06-01 10:55:43,fb72e28e
1408,1,FALSE,1564061,2024-06-01 10:56:00,fb72e28e
1007,2,TRUE,1564063,2024-06-01 10:56:12,fb72e28e
939,2,TRUE,1564064,2024-06-01 10:56:36,fb72e28e
1296,1,FALSE,1564065,2024-06-01 10:56:50,fb72e28e
1441,2,TRUE,1564089,2024-06-01 12:00:50,85f63b45
1300,4,TRUE,1564156,2024-06-01 13:08:42,85f63b45
297,3,TRUE,1564186,2024-06-01 13:20:06,65751190
607,4,TRUE,1564278,2024-06-01 14:56:18,65751190
280,2,FALSE,1564872,2024-06-02 10:05:55,62dbe763
916,3,TRUE,1564915,2024-06-02 10:28:42,65751190
668,3,TRUE,1564921,2024-06-02 10:32:27,65751190
709,3,TRUE,1565191,2024-06-02 13:25:11,65751190
378,4,TRUE,1565222,2024-06-02 14:07:08,65751190
1304,1,FALSE,1565237,2024-06-02 14:46:15,0522ac6c
135,2,TRUE,1565239,2024-06-02 14:46:29,0522ac6c
661,1,FALSE,1565240,2024-06-02 14:46:40,0522ac6c
319,2,TRUE,1565241,2024-06-02 14:46:51,0522ac6c
237,2,TRUE,1565242,2024-06-02 14:47:13,0522ac6c
297,3,TRUE,1565243,2024-06-02 14:49:52,65751190
320,2,TRUE,1565350,2024-06-02 17:40:27,421e5f1c
93,1,FALSE,1566320,2024-06-03 10:32:30,b2305f88
517,2,TRUE,1566322,2024-06-03 10:32:46,b2305f88
1110,2,TRUE,1566324,2024-06-03 10:33:05,b2305f88
482,2,TRUE,1566332,2024-06-03 10:34:38,b2305f88
433,1,FALSE,1566336,2024-06-03 10:35:08,b2305f88
183,2,TRUE,1566339,2024-06-03 10:35:30,b2305f88
1094,1,FALSE,1566341,2024-06-03 10:35:42,b2305f88
529,2,TRUE,1566342,2024-06-03 10:35:52,b2305f88
312,2,TRUE,1566344,2024-06-03 10:36:29,b2305f88
311,7,TRUE,1566413,2024-06-03 10:56:00,e83f4b7b
1271,1,FALSE,1566539,2024-06-03 11:39:08,fafe45b3
1122,1,FALSE,1566574,2024-06-03 12:39:26,ff0a40e1
1056,1,FALSE,1566576,2024-06-03 12:40:23,ff0a40e1
510,6,TRUE,1566577,2024-06-03 12:41:03,ff0a40e1
635,1,FALSE,1566580,2024-06-03 12:41:28,ff0a40e1
316,1,FALSE,1566582,2024-06-03 12:41:54,ff0a40e1
1335,1,FALSE,1566590,2024-06-03 13:13:17,ff0a40e1
627,2,TRUE,1566673,2024-06-03 14:22:31,b2305f88
337,1,FALSE,1566674,2024-06-03 14:22:51,b2305f88
1402,1,FALSE,1566675,2024-06-03 14:23:04,b2305f88
1301,3,TRUE,1566733,2024-06-03 16:11:36,6642c86a
2,2,TRUE,1566746,2024-06-03 16:26:54,6642c86a
1006,3,TRUE,1567154,2024-06-04 08:35:15,65751190
1467,2,TRUE,1567189,2024-06-04 08:55:20,6642c86a
1456,1,FALSE,1567190,2024-06-04 08:55:29,6642c86a
1460,1,FALSE,1567191,2024-06-04 08:55:36,6642c86a
1249,1,FALSE,1567192,2024-06-04 08:55:44,6642c86a
985,2,TRUE,1567193,2024-06-04 08:55:54,6642c86a
292,3,TRUE,1567195,2024-06-04 08:56:01,6642c86a
963,1,FALSE,1567197,2024-06-04 08:56:12,6642c86a
925,1,FALSE,1567201,2024-06-04 08:56:32,6642c86a
